"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";"F.Cu";"B.Cu";
001;"GND";15;0;0.0000 mm;426.9471 mm;0.0000 mm;426.9471 mm;239.9869 mm;186.9603 mm;
002;"+5V";17;0;0.0000 mm;419.3319 mm;0.0000 mm;419.3319 mm;220.8486 mm;198.4833 mm;
003;"Net-(DIS1-PadP$3)";2;0;0.0000 mm;104.9679 mm;0.0000 mm;104.9679 mm;0.0000 mm;104.9679 mm;
004;"/A0";4;0;0.0000 mm;162.1138 mm;0.0000 mm;162.1138 mm;39.0819 mm;123.0318 mm;
005;"Net-(DIS1-PadP$5)";2;0;0.0000 mm;50.9039 mm;0.0000 mm;50.9039 mm;0.0000 mm;50.9039 mm;
006;"Net-(DIS1-PadP$6)";2;0;0.0000 mm;65.4071 mm;0.0000 mm;65.4071 mm;0.0000 mm;65.4071 mm;
007;"/D0";4;0;0.0000 mm;186.4750 mm;0.0000 mm;186.4750 mm;82.8826 mm;103.5924 mm;
008;"/D1";4;0;0.0000 mm;189.2487 mm;0.0000 mm;189.2487 mm;82.8793 mm;106.3694 mm;
009;"/D2";4;0;0.0000 mm;203.2862 mm;0.0000 mm;203.2862 mm;95.0815 mm;108.2047 mm;
010;"/D3";4;1;1.6000 mm;223.1017 mm;0.0000 mm;224.7017 mm;39.0863 mm;184.0154 mm;
011;"/D4";4;1;1.6000 mm;218.1056 mm;0.0000 mm;219.7056 mm;64.2394 mm;153.8661 mm;
012;"/D5";4;0;0.0000 mm;221.7089 mm;0.0000 mm;221.7089 mm;39.0673 mm;182.6417 mm;
013;"/D6";4;0;0.0000 mm;220.7165 mm;0.0000 mm;220.7165 mm;39.0354 mm;181.6812 mm;
014;"/D7";4;0;0.0000 mm;198.9799 mm;0.0000 mm;198.9799 mm;98.0747 mm;100.9052 mm;
015;"Net-(U1-~{RESET})";3;1;1.6000 mm;142.1094 mm;0.0000 mm;143.7094 mm;116.6858 mm;25.4236 mm;
016;"/A11";3;0;0.0000 mm;123.8772 mm;0.0000 mm;123.8772 mm;123.8772 mm;0.0000 mm;
017;"/A12";3;0;0.0000 mm;91.0144 mm;0.0000 mm;91.0144 mm;91.0144 mm;0.0000 mm;
018;"/A13";3;1;1.6000 mm;102.6292 mm;0.0000 mm;104.2292 mm;86.4159 mm;16.2132 mm;
019;"/A14";3;0;0.0000 mm;83.4633 mm;0.0000 mm;83.4633 mm;83.4633 mm;0.0000 mm;
020;"/A15";4;0;0.0000 mm;51.4128 mm;0.0000 mm;51.4128 mm;2.5400 mm;48.8728 mm;
021;"Net-(U1-~{CLK})";2;1;1.6000 mm;156.9703 mm;0.0000 mm;158.5703 mm;123.6301 mm;33.3402 mm;
023;"~{MREQ}";3;0;0.0000 mm;143.3203 mm;0.0000 mm;143.3203 mm;143.3203 mm;0.0000 mm;
024;"~{IORQ}";2;0;0.0000 mm;124.2515 mm;0.0000 mm;124.2515 mm;124.2515 mm;0.0000 mm;
025;"~{RD}";5;0;0.0000 mm;144.5341 mm;0.0000 mm;144.5341 mm;39.0780 mm;105.4560 mm;
026;"~{WR}";2;1;1.6000 mm;103.9379 mm;0.0000 mm;105.5379 mm;70.3418 mm;33.5961 mm;
028;"~{M1}";2;2;3.2000 mm;74.1592 mm;0.0000 mm;77.3592 mm;40.6417 mm;33.5175 mm;
030;"/A1";3;0;0.0000 mm;59.5388 mm;0.0000 mm;59.5388 mm;39.0383 mm;20.5005 mm;
031;"/A2";3;0;0.0000 mm;59.5527 mm;0.0000 mm;59.5527 mm;39.0522 mm;20.5005 mm;
032;"/A3";3;1;1.6000 mm;62.5400 mm;0.0000 mm;64.1400 mm;21.7061 mm;40.8338 mm;
033;"/A4";4;0;0.0000 mm;97.1080 mm;0.0000 mm;97.1080 mm;39.0773 mm;58.0307 mm;
034;"/A5";4;0;0.0000 mm;103.2767 mm;0.0000 mm;103.2767 mm;39.0383 mm;64.2384 mm;
035;"/A6";4;0;0.0000 mm;97.1170 mm;0.0000 mm;97.1170 mm;39.0863 mm;58.0307 mm;
036;"/A7";4;0;0.0000 mm;100.7855 mm;0.0000 mm;100.7855 mm;39.0672 mm;61.7183 mm;
037;"/A8";3;0;0.0000 mm;76.8844 mm;0.0000 mm;76.8844 mm;39.0397 mm;37.8447 mm;
038;"/A9";3;0;0.0000 mm;82.5396 mm;0.0000 mm;82.5396 mm;39.0673 mm;43.4723 mm;
039;"/A10";3;0;0.0000 mm;90.1422 mm;0.0000 mm;90.1422 mm;39.0863 mm;51.0559 mm;
040;"Net-(U2-~{CS})";2;0;0.0000 mm;145.4604 mm;0.0000 mm;145.4604 mm;0.0000 mm;145.4604 mm;
048;"Net-(U4-O0)";3;0;0.0000 mm;37.6642 mm;0.0000 mm;37.6642 mm;35.1242 mm;2.5400 mm;
049;"Net-(U6-~{CS})";2;1;1.6000 mm;69.3632 mm;0.0000 mm;70.9632 mm;35.3467 mm;34.0166 mm;
050;"Net-(U5-Pad9)";2;0;0.0000 mm;57.5031 mm;0.0000 mm;57.5031 mm;57.5031 mm;0.0000 mm;
